mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
8	8	42	42	0.0	1	1	FiguredBass	3/2	7	1	0					1/2	5			
8	8	42	42	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	152						
8	8	38	38	4.0	0	0	Chord	3/2	8	1	1	1	1	153						
8	8	42	42	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	154						
9	9	44	44	4.0	0	0	Chord	3/2	1	1	1	1	1	155						
9	9	48	48	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	156						
9	9	44	44	4.0	0	0	Chord	3/2	2	1	1	1	1	157						
9	9	48	48	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	158						
9	9	44	44	4.0	0	0	Chord	3/2	3	1	1	1	1	159						
9	9	48	48	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	160						
9	9	44	44	4.0	0	0	Chord	3/2	4	1	1	1	1	161						
9	9	48	48	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	162						
9	9	44	44	4.0	0	0	Chord	3/2	5	1	1	1	1	163						
9	9	48	48	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	164						
9	9	44	44	4.0	0	0	Chord	3/2	5	2	1	1	1	165						
9	9	48	48	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	166						
9	9	44	44	4.0	0	0	Chord	3/2	6	1	1	1	1	167						
9	9	48	48	2.0	1	1	Chord	3/2	6	1	1/2	1/2	1	168						
9	9	44	44	4.0	0	0	Chord	3/2	6	2	1	1	1	169						
9	9	48	48	2.0	1	1	Chord	3/2	6	2	1/2	1/2	1	170						
9	9	44	44	4.0	0	0	Chord	3/2	7	1	1	1	1	171						
9	9	48	48	0.0	1	1	FiguredBass	3/2	7	1	0					1/2	7	#		
9	9	48	48	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	172						
9	9	44	44	4.0	0	0	Chord	3/2	8	1	1	1	1	173						
9	9	48	48	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	174						
10	10	50	50	4.0	0	0	Chord	3/2	1	1	1	1	1	175						
10	10	54	54	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	176	ornamentTremblement					
10	10	50	50	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	177						2
10	10	52	52	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	178						
10	10	54	54	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	179						
