mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
5	5	28	28	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	129						
5	5	24	24	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	130						
5	5	26	26	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	131						
5	5	28	28	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	132						
5	5	24	24	2.0	0	0	Chord	3/2	5	1	1/2	1/2	1	133						
5	5	26	26	2.0	1/2	1/2	Chord	3/2	5	1	1/2	1/2	1	134						
5	5	28	28	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	135						
5	5	24	24	2.0	0	0	Chord	3/2	5	2	1/2	1/2	1	136						
5	5	26	26	2.0	1/2	1/2	Chord	3/2	5	2	1/2	1/2	1	137						
5	5	28	28	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	138						
5	5	24	24	6.0	0	0	Chord	3/2	6	1	3/2	1	3/2	139						
5	5	24	24	2.0	0	0	Chord	3/2	6	2	1/2	1/2	1	140						
5	5	26	26	2.0	1/2	1/2	Chord	3/2	6	2	1/2	1/2	1	141						
5	5	28	28	2.0	1	1	Chord	3/2	6	2	1/2	1/2	1	142						
5	5	24	24	2.0	0	0	Chord	3/2	7	1	1/2	1/2	1	143						
5	5	26	26	2.0	1/2	1/2	Chord	3/2	7	1	1/2	1/2	1	144						
5	5	28	28	0.0	1	1	FiguredBass	3/2	7	1	0					1/2	5			
5	5	28	28	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	145						
5	5	24	24	2.0	0	0	Chord	3/2	8	1	1/2	1/2	1	146						
5	5	26	26	2.0	1/2	1/2	Chord	3/2	8	1	1/2	1/2	1	147						
5	5	28	28	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	148						
6	6	30	30	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	149						
6	6	32	32	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	150						
6	6	34	34	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	151						
6	6	30	30	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	152						
6	6	32	32	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	153						
6	6	34	34	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	154						
6	6	30	30	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	155						
6	6	32	32	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	156						
6	6	34	34	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	157						
6	6	30	30	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	158						
6	6	32	32	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	159						
6	6	34	34	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	160						
6	6	30	30	2.0	0	0	Chord	3/2	5	1	1/2	1/2	1	161						
6	6	32	32	2.0	1/2	1/2	Chord	3/2	5	1	1/2	1/2	1	162						
6	6	34	34	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	163						
6	6	30	30	2.0	0	0	Chord	3/2	5	2	1/2	1/2	1	164						
6	6	32	32	2.0	1/2	1/2	Chord	3/2	5	2	1/2	1/2	1	165						
6	6	34	34	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	166						
6	6	30	30	6.0	0	0	Chord	3/2	6	1	3/2	1	3/2	167						
6	6	30	30	2.0	0	0	Chord	3/2	6	2	1/2	1/2	1	168						
6	6	32	32	2.0	1/2	1/2	Chord	3/2	6	2	1/2	1/2	1	169						
6	6	34	34	2.0	1	1	Chord	3/2	6	2	1/2	1/2	1	170						
6	6	30	30	2.0	0	0	Chord	3/2	7	1	1/2	1/2	1	171						
6	6	32	32	0.0	1/2	1/2	FiguredBass	3/2	7	1	0					1/2	2			
6	6	32	32	2.0	1/2	1/2	Chord	3/2	7	1	1/2	1/2	1	172						
6	6	34	34	0.0	1	1	FiguredBass	3/2	7	1	0					1/2	6			
6	6	34	34	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	173						
6	6	30	30	2.0	0	0	Chord	3/2	8	1	1/2	1/2	1	174						
6	6	32	32	2.0	1/2	1/2	Chord	3/2	8	1	1/2	1/2	1	175						
6	6	34	34	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	176						
7	7	36	36	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	177						
7	7	38	38	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	178						
7	7	40	40	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	179	ornamentTremblement					
7	7	36	36	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	180						
7	7	38	38	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	181						
7	7	40	40	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	182						
7	7	36	36	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	183						
7	7	38	38	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	184						
7	7	40	40	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	185	ornamentTremblement					
