mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2
13	13	76	76	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	309				
13	13	72	72	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	310				
13	13	74	74	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	311				
13	13	76	76	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	312				
13	13	72	72	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	313				
13	13	74	74	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	314				
13	13	76	76	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	315				
13	13	72	72	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	316				
13	13	74	74	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	317				
13	13	76	76	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	318				
13	13	72	72	2.0	0	0	Chord	3/2	5	1	1/2	1/2	1	319				
13	13	74	74	2.0	1/2	1/2	Chord	3/2	5	1	1/2	1/2	1	320				
13	13	76	76	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	321				
13	13	72	72	2.0	0	0	Chord	3/2	5	2	1/2	1/2	1	322				
13	13	74	74	2.0	1/2	1/2	Chord	3/2	5	2	1/2	1/2	1	323				
13	13	76	76	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	324				
13	13	72	72	4.0	0	0	Chord	3/2	6	1	1	1	1	325				
13	13	76	76	2.0	1	1	Chord	3/2	6	1	1/2	1/2	1	326				
13	13	72	72	4.0	0	0	Chord	3/2	6	2	1	1	1	327				
13	13	76	76	2.0	1	1	Chord	3/2	6	2	1/2	1/2	1	328				
13	13	72	72	0.0	0	0	FiguredBass	3/2	7	1	0					1/2	6	
13	13	72	72	2.0	0	0	Chord	3/2	7	1	1/2	1/2	1	329				
13	13	74	74	2.0	1/2	1/2	Chord	3/2	7	1	1/2	1/2	1	330				
13	13	76	76	0.0	1	1	FiguredBass	3/2	7	1	0					1/2	6	
13	13	76	76	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	331				
13	13	72	72	4.0	0	0	Chord	3/2	8	1	1	1	1	332				
13	13	76	76	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	333				
14	14	78	78	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	334				
14	14	80	80	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	335				
14	14	82	82	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	336				
14	14	78	78	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	337				
14	14	80	80	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	338				
14	14	82	82	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	339				
14	14	78	78	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	340				
14	14	80	80	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	341				
14	14	82	82	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	342				
14	14	78	78	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	343				
14	14	80	80	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	344				
14	14	82	82	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	345				
14	14	78	78	2.0	0	0	Chord	3/2	5	1	1/2	1/2	1	346				
14	14	80	80	2.0	1/2	1/2	Chord	3/2	5	1	1/2	1/2	1	347				
14	14	82	82	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	348				
14	14	78	78	2.0	0	0	Chord	3/2	5	2	1/2	1/2	1	349				
14	14	80	80	2.0	1/2	1/2	Chord	3/2	5	2	1/2	1/2	1	350				
14	14	82	82	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	351				
14	14	78	78	2.0	0	0	Chord	3/2	5	3	1/2	1/2	1	352				
14	14	78	78	2.0	0	0	Chord	3/2	6	1	1/2	1/2	1	353				
14	14	80	80	2.0	1/2	1/2	Chord	3/2	6	1	1/2	1/2	1	354				
14	14	82	82	2.0	1	1	Chord	3/2	6	1	1/2	1/2	1	355				
14	14	78	78	2.0	0	0	Chord	3/2	6	2	1/2	1/2	1	356				
14	14	80	80	2.0	1/2	1/2	Chord	3/2	6	2	1/2	1/2	1	357				
14	14	82	82	2.0	1	1	Chord	3/2	6	2	1/2	1/2	1	358				
14	14	78	78	2.0	0	0	Chord	3/2	7	1	1/2	1/2	1	359				
14	14	80	80	0.0	1/2	1/2	FiguredBass	3/2	7	1	0					1/2	7	5
14	14	80	80	2.0	1/2	1/2	Chord	3/2	7	1	1/2	1/2	1	360				
14	14	82	82	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	361				
14	14	78	78	2.0	0	0	Chord	3/2	8	1	1/2	1/2	1	362				
14	14	80	80	2.0	1/2	1/2	Chord	3/2	8	1	1/2	1/2	1	363				
14	14	82	82	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	364				
15	15	84	84	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	365				
15	15	86	86	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	366				
15	15	88	88	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	367	ornamentTremblement			
15	15	84	84	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	368				
15	15	86	86	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	369				
15	15	88	88	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	370				
15	15	84	84	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	371				
15	15	86	86	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	372				
15	15	88	88	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	373				
15	15	84	84	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	374				
15	15	86	86	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	375				
15	15	88	88	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	376				
15	15	84	84	2.0	0	0	Chord	3/2	5	1	1/2	1/2	1	377				
15	15	86	86	2.0	1/2	1/2	Chord	3/2	5	1	1/2	1/2	1	378				
15	15	88	88	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	379	ornamentTremblement			
15	15	84	84	2.0	0	0	Chord	3/2	5	2	1/2	1/2	1	380				
15	15	86	86	2.0	1/2	1/2	Chord	3/2	5	2	1/2	1/2	1	381				
15	15	88	88	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	382				
15	15	84	84	2.0	0	0	Chord	3/2	6	1	1/2	1/2	1	383				
15	15	86	86	4.0	1/2	1/2	Chord	3/2	6	1	1	1	1	384				
15	15	84	84	4.0	0	0	Chord	3/2	6	2	1	1	1	385				
15	15	88	88	2.0	1	1	Chord	3/2	6	2	1/2	1/2	1	386				
15	15	84	84	0.0	0	0	FiguredBass	3/2	7	1	0					1/2	7	
15	15	84	84	2.0	0	0	Chord	3/2	7	1	1/2	1/2	1	387				
15	15	86	86	0.0	1/2	1/2	FiguredBass	3/2	7	1	0					1/2	6	
15	15	86	86	2.0	1/2	1/2	Chord	3/2	7	1	1/2	1/2	1	388				
15	15	88	88	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	389	ornamentTremblement			
15	15	84	84	4.0	0	0	Chord	3/2	8	1	1	1	1	390				
15	15	88	88	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	391				
16	16	90	90	4.0	0	0	Chord	3/2	1	1	1	1	1	392				
16	16	94	94	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	393				
16	16	90	90	4.0	0	0	Chord	3/2	2	1	1	1	1	394				
16	16	94	94	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	395				
16	16	90	90	4.0	0	0	Chord	3/2	3	1	1	1	1	396				
16	16	94	94	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	397				
16	16	90	90	4.0	0	0	Chord	3/2	4	1	1	1	1	398				
16	16	94	94	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	399				
16	16	90	90	4.0	0	0	Chord	3/2	4	2	1	1	1	400				
16	16	94	94	2.0	1	1	Chord	3/2	4	2	1/2	1/2	1	401				
16	16	90	90	4.0	0	0	Chord	3/2	5	1	1	1	1	402				
16	16	94	94	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	403				
16	16	90	90	4.0	0	0	Chord	3/2	5	2	1	1	1	404				
16	16	94	94	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	405				
16	16	90	90	4.0	0	0	Chord	3/2	6	1	1	1	1	406				
16	16	94	94	2.0	1	1	Chord	3/2	6	1	1/2	1/2	1	407				
16	16	90	90	4.0	0	0	Chord	3/2	6	2	1	1	1	408				
16	16	94	94	2.0	1	1	Chord	3/2	6	2	1/2	1/2	1	409				
16	16	90	90	4.0	0	0	Chord	3/2	7	1	1	1	1	410				
16	16	94	94	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	411				
16	16	90	90	6.0	0	0	Chord	3/2	8	1	3/2	1	3/2	412				
