mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
5	5	18	18	2.0	1/2	1/2	Chord	4/4	9	1	1/2		1/2	1	98					
5	5	16	16	2.0	0	0	Chord	4/4	10	1	1/2		1/2	1	99					
5	5	18	18	2.0	1/2	1/2	Chord	4/4	10	1	1/2		1/2	1	100					
6	6	20	20	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	101					
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	102					
6	6	20	20	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	103					
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	104					
6	6	20	20	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	105					
6	6	22	22	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	106					
6	6	20	20	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	107					
6	6	22	22	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	108					
6	6	20	20	2.0	0	0	Chord	4/4	5	1	1/2		1/2	1	109					
6	6	22	22	2.0	1/2	1/2	Chord	4/4	5	1	1/2		1/2	1	110					
6	6	20	20	2.0	0	0	Chord	4/4	5	2	1/2		1/2	1	111					
6	6	22	22	2.0	1/2	1/2	Chord	4/4	5	2	1/2		1/2	1	112					
6	6	20	20	2.0	0	0	Chord	4/4	5	3	1/2		1/2	1	113					
6	6	22	22	2.0	1/2	1/2	Chord	4/4	5	3	1/2		1/2	1	114					
6	6	20	20	2.0	0	0	Chord	4/4	6	1	1/2		1/2	1	115					
6	6	22	22	2.0	1/2	1/2	Chord	4/4	6	1	1/2		1/2	1	116					
6	6	20	20	0.0	0	0	FiguredBass	4/4	9	1	0						1/2	6		
6	6	20	20	2.0	0	0	Chord	4/4	9	1	1/2		1/2	1	117					
6	6	22	22	2.0	1/2	1/2	Chord	4/4	9	1	1/2		1/2	1	118					
6	6	20	20	2.0	0	0	Chord	4/4	10	1	1/2		1/2	1	119					
6	6	22	22	2.0	1/2	1/2	Chord	4/4	10	1	1/2		1/2	1	120					
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	121					3
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	122					
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	123					
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	124					
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	125					
7	7	24	24	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	126					
7	7	26	26	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	127					
7	7	24	24	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	128					
7	7	26	26	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	129					
7	7	24	24	1.0	0	0	Chord	4/4	5	1	1/4		1/4	1	130					4
7	7	25	25	1.0	1/4	1/4	Chord	4/4	5	1	1/4		1/4	1	131					
7	7	26	26	2.0	1/2	1/2	Chord	4/4	5	1	1/2		1/2	1	132					
7	7	24	24	4.0	0	0	Chord	4/4	5	2	1		1	1	133					
7	7	24	24	4.0	0	0	Chord	4/4	5	3	1		1	1	134					
7	7	24	24	4.0	0	0	Chord	4/4	6	1	1		1	1	135					
7	7	24	24	0.0	0	0	FiguredBass	4/4	9	1	0						1/4	7	5	
7	7	24	24	1.0	0	0	Chord	4/4	9	1	1/4		1/4	1	136					5
7	7	25	25	1.0	1/4	1/4	Chord	4/4	9	1	1/4		1/4	1	137					
7	7	26	26	2.0	1/2	1/2	Chord	4/4	9	1	1/2		1/2	1	138					
7	7	24	24	4.0	0	0	Chord	4/4	10	1	1		1	1	139					
8	8	28	28	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	140					
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	141					
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	142					
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	143					
8	8	28	28	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	144					
8	8	30	30	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	145					
8	8	28	28	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	146					
8	8	30	30	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	147					
8	8	28	28	2.0	0	0	Chord	4/4	5	1	1/2		1/2	1	148					
8	8	30	30	2.0	1/2	1/2	Chord	4/4	5	1	1/2		1/2	1	149					
8	8	28	28	4.0	0	0	Chord	4/4	5	2	1		1	1	150					
8	8	28	28	2.0	0	0	Chord	4/4	5	3	1/2		1/2	1	151					
8	8	30	30	2.0	1/2	1/2	Chord	4/4	5	3	1/2		1/2	1	152					
8	8	28	28	4.0	0	0	Chord	4/4	6	1	1		1	1	153					
8	8	28	28	0.0	0	0	FiguredBass	4/4	9	1	0						1/2	6	4	
8	8	28	28	2.0	0	0	Chord	4/4	9	1	1/2		1/2	1	154					
8	8	30	30	0.0	1/2	1/2	FiguredBass	4/4	9	1	0						1/2	5	#	
8	8	30	30	2.0	1/2	1/2	Chord	4/4	9	1	1/2		1/2	1	155					
8	8	28	28	4.0	0	0	Chord	4/4	10	1	1		1	1	156					
9	9	32	32	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	157					
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	158					
9	9	32	32	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	159					
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	160					
9	9	32	32	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	161					
9	9	34	34	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	162					
9	9	32	32	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	163					
9	9	34	34	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	164					
9	9	32	32	2.0	0	0	Chord	4/4	5	1	1/2		1/2	1	165					
9	9	34	34	2.0	1/2	1/2	Chord	4/4	5	1	1/2		1/2	1	166					
9	9	32	32	2.0	0	0	Chord	4/4	5	2	1/2		1/2	1	167					
9	9	34	34	2.0	1/2	1/2	Chord	4/4	5	2	1/2		1/2	1	168					
9	9	32	32	2.0	0	0	Chord	4/4	5	3	1/2		1/2	1	169					
9	9	34	34	2.0	1/2	1/2	Chord	4/4	5	3	1/2		1/2	1	170					
9	9	32	32	2.0	0	0	Chord	4/4	6	1	1/2		1/2	1	171					
9	9	34	34	2.0	1/2	1/2	Chord	4/4	6	1	1/2		1/2	1	172					
9	9	32	32	0.0	0	0	FiguredBass	4/4	9	1	0						1/2	6		
9	9	32	32	2.0	0	0	Chord	4/4	9	1	1/2		1/2	1	173					
9	9	34	34	0.0	1/2	1/2	FiguredBass	4/4	9	1	0						1/2	6		
9	9	34	34	2.0	1/2	1/2	Chord	4/4	9	1	1/2		1/2	1	174					
9	9	32	32	2.0	0	0	Chord	4/4	10	1	1/2		1/2	1	175					
9	9	34	34	2.0	1/2	1/2	Chord	4/4	10	1	1/2		1/2	1	176					
10	10	36	36	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	177					
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	178					
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	179					6
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	180					
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	181					
10	10	36	36	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	182					7
10	10	37	37	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	183					
10	10	38	38	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	184					
10	10	36	36	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	185					
10	10	38	38	1.0	1/2	1/2	Chord	4/4	4	1	1/4		1/4	1	186					8
10	10	39	39	1.0	3/4	3/4	Chord	4/4	4	1	1/4		1/4	1	187					
10	10	36	36	2.0	0	0	Chord	4/4	5	1	1/2		1/2	1	188					
10	10	38	38	2.0	1/2	1/2	Chord	4/4	5	1	1/2		1/2	1	189					
10	10	36	36	2.0	0	0	Chord	4/4	5	2	1/2		1/2	1	190					
10	10	38	38	2.0	1/2	1/2	Chord	4/4	5	2	1/2		1/2	1	191					
10	10	36	36	1.0	0	0	Chord	4/4	5	3	1/4		1/4	1	192					
10	10	37	37	1.0	1/4	1/4	Chord	4/4	5	3	1/4		1/4	1	193					
10	10	38	38	2.0	1/2	1/2	Chord	4/4	5	3	1/2		1/2	1	194					
10	10	36	36	2.0	0	0	Chord	4/4	6	1	1/2		1/2	1	195					
10	10	38	38	1.0	1/2	1/2	Chord	4/4	6	1	1/4		1/4	1	196					
10	10	39	39	1.0	3/4	3/4	Chord	4/4	6	1	1/4		1/4	1	197					
10	10	36	36	0.0	0	0	FiguredBass	4/4	9	1	0						1/2	5		
10	10	36	36	2.0	0	0	Chord	4/4	9	1	1/2		1/2	1	198					
10	10	38	38	0.0	1/2	1/2	FiguredBass	4/4	9	1	0						1/2	6		
10	10	38	38	2.0	1/2	1/2	Chord	4/4	9	1	1/2		1/2	1	199					
10	10	40	40	0.0	1	1	FiguredBass	4/4	9	1	0						1/2	6h		
10	10	36	36	2.0	0	0	Chord	4/4	10	1	1/2		1/2	1	200					
10	10	38	38	1.0	1/2	1/2	Chord	4/4	10	1	1/4		1/4	1	201					
10	10	39	39	1.0	3/4	3/4	Chord	4/4	10	1	1/4		1/4	1	202					
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	203					9
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	204					
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	205					
11	11	40	40	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	206					
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	207					
11	11	40	40	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	208					
11	11	42	42	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	209					
11	11	40	40	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	210					
11	11	42	42	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	211					
11	11	40	40	1.0	0	0	Chord	4/4	5	1	1/4		1/4	1	212					10
11	11	41	41	1.0	1/4	1/4	Chord	4/4	5	1	1/4		1/4	1	213					
11	11	42	42	2.0	1/2	1/2	Chord	4/4	5	1	1/2		1/2	1	214					
11	11	40	40	2.0	0	0	Chord	4/4	5	2	1/2		1/2	1	215					
11	11	42	42	2.0	1/2	1/2	Chord	4/4	5	2	1/2		1/2	1	216					
11	11	40	40	4.0	0	0	Chord	4/4	5	3	1		1	1	217					
11	11	40	40	4.0	0	0	Chord	4/4	6	1	1		1	1	218					
11	11	40	40	0.0	0	0	FiguredBass	4/4	9	1	0						1/4	4		
11	11	40	40	1.0	0	0	Chord	4/4	9	1	1/4		1/4	1	219					11
11	11	41	41	1.0	1/4	1/4	Chord	4/4	9	1	1/4		1/4	1	220					
11	11	42	42	0.0	1/2	1/2	FiguredBass	4/4	9	1	0						1/2	3		
11	11	42	42	2.0	1/2	1/2	Chord	4/4	9	1	1/2		1/2	1	221					
11	11	40	40	2.0	0	0	Chord	4/4	10	1	1/2		1/2	1	222					
11	11	42	42	2.0	1/2	1/2	Chord	4/4	10	1	1/2		1/2	1	223					
12	12	44	44	4.0	0	0	Chord	4/4	1	1	1		1	1	224					
12	12	44	44	4.0	0	0	Chord	4/4	2	1	1		1	1	225					
12	12	44	44	4.0	0	0	Chord	4/4	3	1	1		1	1	226					
12	12	44	44	4.0	0	0	Chord	4/4	4	1	1		1	1	227					
12	12	44	44	4.0	0	0	Chord	4/4	5	1	1		1	1	228					
12	12	44	44	4.0	0	0	Chord	4/4	5	2	1		1	1	229					
12	12	44	44	4.0	0	0	Chord	4/4	5	3	1		1	1	230					
12	12	44	44	4.0	0	0	Chord	4/4	6	1	1		1	1	231					
12	12	44	44	4.0	0	0	Chord	4/4	9	1	1		1	1	232					
12	12	44	44	4.0	0	0	Chord	4/4	10	1	1		1	1	233					
13	13	48	48	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	234					
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	235					
13	13	48	48	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	236					
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	237					
13	13	48	48	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	238					
13	13	50	50	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	239					
13	13	48	48	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	240					
13	13	50	50	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	241					
13	13	48	48	2.0	0	0	Chord	4/4	5	1	1/2		1/2	1	242					
13	13	50	50	2.0	1/2	1/2	Chord	4/4	5	1	1/2		1/2	1	243					
13	13	48	48	2.0	0	0	Chord	4/4	5	2	1/2		1/2	1	244					
13	13	50	50	2.0	1/2	1/2	Chord	4/4	5	2	1/2		1/2	1	245					
13	13	48	48	2.0	0	0	Chord	4/4	5	3	1/2		1/2	1	246					
13	13	50	50	2.0	1/2	1/2	Chord	4/4	5	3	1/2		1/2	1	247					
13	13	48	48	2.0	0	0	Chord	4/4	6	1	1/2		1/2	1	248					
13	13	50	50	2.0	1/2	1/2	Chord	4/4	6	1	1/2		1/2	1	249					
13	13	48	48	0.0	0	0	FiguredBass	4/4	9	1	0						1/2	6b		
13	13	48	48	2.0	0	0	Chord	4/4	9	1	1/2		1/2	1	250					
13	13	50	50	0.0	1/2	1/2	FiguredBass	4/4	9	1	0						1/2	5b		
13	13	50	50	2.0	1/2	1/2	Chord	4/4	9	1	1/2		1/2	1	251					
13	13	48	48	2.0	0	0	Chord	4/4	10	1	1/2		1/2	1	252					
13	13	50	50	2.0	1/2	1/2	Chord	4/4	10	1	1/2		1/2	1	253					
14	14	52	52	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	254					
14	14	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	255					
14	14	52	52	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	256					
14	14	54	54	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	257					12
14	14	55	55	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	258					
14	14	52	52	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	259					
14	14	54	54	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	260					
14	14	52	52	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	261					
14	14	54	54	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	262					
14	14	52	52	2.0	0	0	Chord	4/4	5	1	1/2		1/2	1	263					
14	14	54	54	2.0	1/2	1/2	Chord	4/4	5	1	1/2		1/2	1	264					
14	14	52	52	2.0	0	0	Chord	4/4	5	2	1/2		1/2	1	265					
14	14	54	54	2.0	1/2	1/2	Chord	4/4	5	2	1/2		1/2	1	266					
14	14	52	52	2.0	0	0	Chord	4/4	5	3	1/2		1/2	1	267					
14	14	54	54	1.0	1/2	1/2	Chord	4/4	5	3	1/4		1/4	1	268					
14	14	55	55	1.0	3/4	3/4	Chord	4/4	5	3	1/4		1/4	1	269					
14	14	52	52	2.0	0	0	Chord	4/4	6	1	1/2		1/2	1	270					
14	14	54	54	2.0	1/2	1/2	Chord	4/4	6	1	1/2		1/2	1	271					
14	14	52	52	2.0	0	0	Chord	4/4	9	1	1/2		1/2	1	272					
14	14	54	54	0.0	1/2	1/2	FiguredBass	4/4	9	1	0						1/2	2		
14	14	54	54	2.0	1/2	1/2	Chord	4/4	9	1	1/2		1/2	1	273					
14	14	52	52	2.0	0	0	Chord	4/4	10	1	1/2		1/2	1	274					
14	14	54	54	2.0	1/2	1/2	Chord	4/4	10	1	1/2		1/2	1	275					
15	15	56	56	3.0	0	0	Chord	4/4	1	1	3/4		1/2	3/2	276					
15	15	59	59	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	277					
15	15	56	56	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	278					13
15	15	57	57	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	279					13
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	280					
15	15	58	58	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	281					
15	15	56	56	3.0	0	0	Chord	4/4	3	1	3/4		1/2	3/2	282					
15	15	59	59	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	283					
15	15	56	56	2.0	0	0	Chord	4/4	4	1	1/2		1/2	1	284					
15	15	58	58	2.0	1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	285					
15	15	56	56	3.0	0	0	Chord	4/4	5	1	3/4		1/2	3/2	286					
15	15	59	59	1.0	3/4	3/4	Chord	4/4	5	1	1/4		1/4	1	287					
15	15	56	56	3.0	0	0	Chord	4/4	5	2	3/4		1/2	3/2	288					
15	15	59	59	1.0	3/4	3/4	Chord	4/4	5	2	1/4		1/4	1	289					
15	15	56	56	1.0	0	0	Chord	4/4	5	3	1/4		1/4	1	290					
15	15	57	57	0.5	1/4	1/4	Chord	4/4	5	3	1/8		1/8	1	291					
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	5	3	1/8		1/8	1	292					
15	15	58	58	2.0	1/2	1/2	Chord	4/4	5	3	1/2		1/2	1	293					
15	15	56	56	4.0	0	0	Chord	4/4	6	1	1		1	1	294					
15	15	56	56	0.0	0	0	FiguredBass	4/4	9	1	0						3/4	7		
15	15	56	56	3.0	0	0	Chord	4/4	9	1	3/4		1/2	3/2	295					
