mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
4	4	18	18	6.0	0	0	Chord	3/2	8	1	3/2	1	3/2	87						
5	5	24	24	4.0	0	0	Chord	3/2	1	1	1	1	1	88						
5	5	28	28	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	89						
5	5	24	24	4.0	0	0	Chord	3/2	2	1	1	1	1	90						
5	5	28	28	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	91						
5	5	24	24	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	92						5
5	5	26	26	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	93						
5	5	28	28	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	94						
5	5	24	24	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	95						6
5	5	26	26	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	96						
5	5	28	28	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	97						
5	5	24	24	2.0	0	0	Chord	3/2	4	2	1/2	1/2	1	98						
5	5	26	26	2.0	1/2	1/2	Chord	3/2	4	2	1/2	1/2	1	99						
5	5	28	28	2.0	1	1	Chord	3/2	4	2	1/2	1/2	1	100						
5	5	24	24	4.0	0	0	Chord	3/2	5	1	1	1	1	101						
5	5	28	28	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	102						
5	5	24	24	4.0	0	0	Chord	3/2	5	2	1	1	1	103						
5	5	28	28	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	104						
5	5	24	24	2.0	0	0	Chord	3/2	5	3	1/2	1/2	1	105						
5	5	26	26	2.0	1/2	1/2	Chord	3/2	5	3	1/2	1/2	1	106						
5	5	28	28	2.0	1	1	Chord	3/2	5	3	1/2	1/2	1	107						
5	5	24	24	2.0	0	0	Chord	3/2	6	1	1/2	1/2	1	108						
5	5	26	26	2.0	1/2	1/2	Chord	3/2	6	1	1/2	1/2	1	109						
5	5	28	28	2.0	1	1	Chord	3/2	6	1	1/2	1/2	1	110						
5	5	24	24	0.0	0	0	FiguredBass	3/2	7	1	0					1	5			
5	5	24	24	4.0	0	0	Chord	3/2	7	1	1	1	1	111						
5	5	28	28	0.0	1	1	FiguredBass	3/2	7	1	0					1/2	7			
5	5	28	28	2.0	1	1	Chord	3/2	7	1	1/2	1/2	1	112						
5	5	24	24	2.0	0	0	Chord	3/2	8	1	1/2	1/2	1	113						
5	5	26	26	2.0	1/2	1/2	Chord	3/2	8	1	1/2	1/2	1	114						
5	5	28	28	2.0	1	1	Chord	3/2	8	1	1/2	1/2	1	115						
6	6	30	30	4.0	0	0	Chord	3/2	1	1	1	1	1	116						
6	6	34	34	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	117						
6	6	30	30	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	118						7
6	6	32	32	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	119						
6	6	34	34	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	120						
6	6	30	30	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	121						8
6	6	32	32	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	122						
6	6	34	34	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	123						
6	6	30	30	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	124						9
6	6	32	32	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	125						
6	6	34	34	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	126						
6	6	30	30	2.0	0	0	Chord	3/2	4	2	1/2	1/2	1	127						
6	6	32	32	2.0	1/2	1/2	Chord	3/2	4	2	1/2	1/2	1	128						
6	6	34	34	2.0	1	1	Chord	3/2	4	2	1/2	1/2	1	129						
6	6	30	30	4.0	0	0	Chord	3/2	5	1	1	1	1	130						
6	6	34	34	2.0	1	1	Chord	3/2	5	1	1/2	1/2	1	131						
6	6	30	30	2.0	0	0	Chord	3/2	5	2	1/2	1/2	1	132						
6	6	32	32	2.0	1/2	1/2	Chord	3/2	5	2	1/2	1/2	1	133						
6	6	34	34	2.0	1	1	Chord	3/2	5	2	1/2	1/2	1	134						
6	6	30	30	2.0	0	0	Chord	3/2	5	3	1/2	1/2	1	135						
