mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
5	5	18	18	2.0	1/2	1/2	4/4	3	1	1/2		1/2	1		2	62	D4	4	86
5	5	18	18	2.0	1/2	1/2	4/4	5	2	1/2		1/2	1		2	62	D4	4	92
5	5	18	18	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		1	67	G4	4	84
5	5	18	18	2.0	1/2	1/2	4/4	5	3	1/2		1/2	1		1	67	G4	4	94
5	5	18	18	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	82
5	5	18	18	2.0	1/2	1/2	4/4	5	1	1/2		1/2	1		5	71	B4	4	90
5	5	18	18	2.0	1/2	1/2	4/4	9	1	1/2		1/2	1		5	71	B4	4	98
6	6	20	20	2.0	0	0	4/4	4	1	1/2		1/2	1		4	52	E3	3	107
6	6	20	20	2.0	0	0	4/4	6	1	1/2		1/2	1		4	52	E3	3	115
6	6	20	20	2.0	0	0	4/4	10	1	1/2		1/2	1		4	52	E3	3	119
6	6	20	20	2.0	0	0	4/4	3	1	1/2		1/2	1		4	64	E4	4	105
6	6	20	20	2.0	0	0	4/4	5	2	1/2		1/2	1		4	64	E4	4	111
6	6	20	20	2.0	0	0	4/4	2	1	1/2		1/2	1		1	67	G4	4	103
6	6	20	20	2.0	0	0	4/4	5	3	1/2		1/2	1		1	67	G4	4	113
6	6	20	20	2.0	0	0	4/4	1	1	1/2		1/2	1		7	73	C#5	5	101
6	6	20	20	2.0	0	0	4/4	5	1	1/2		1/2	1		7	73	C#5	5	109
6	6	20	20	2.0	0	0	4/4	9	1	1/2		1/2	1		7	73	C#5	5	117
6	6	22	22	2.0	1/2	1/2	4/4	4	1	1/2		1/2	1		2	50	D3	3	108
6	6	22	22	2.0	1/2	1/2	4/4	6	1	1/2		1/2	1		2	50	D3	3	116
6	6	22	22	2.0	1/2	1/2	4/4	10	1	1/2		1/2	1		2	50	D3	3	120
6	6	22	22	2.0	1/2	1/2	4/4	3	1	1/2		1/2	1		3	57	A3	3	106
6	6	22	22	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		-1	65	F4	4	104
6	6	22	22	2.0	1/2	1/2	4/4	5	2	1/2		1/2	1		-1	65	F4	4	112
6	6	22	22	2.0	1/2	1/2	4/4	5	3	1/2		1/2	1		3	69	A4	4	114
6	6	22	22	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		2	74	D5	5	102
6	6	22	22	2.0	1/2	1/2	4/4	5	1	1/2		1/2	1		2	74	D5	5	110
6	6	22	22	2.0	1/2	1/2	4/4	9	1	1/2		1/2	1		2	74	D5	5	118
7	7	24	24	2.0	0	0	4/4	4	1	1/2		1/2	1		9	51	D#3	3	128
7	7	24	24	4.0	0	0	4/4	6	1	1		1	1		9	51	D#3	3	135
7	7	24	24	4.0	0	0	4/4	10	1	1		1	1		9	51	D#3	3	139
7	7	24	24	2.0	0	0	4/4	3	1	1/2		1/2	1		3	57	A3	3	126
7	7	24	24	2.0	0	0	4/4	2	1	1/2		1/2	1		6	66	F#4	4	124
7	7	24	24	4.0	0	0	4/4	5	2	1		1	1		6	66	F#4	4	133
7	7	24	24	4.0	0	0	4/4	5	3	1		1	1		3	69	A4	4	134
7	7	24	24	1.0	0	0	4/4	1	1	1/4		1/4	1		0	72	C5	5	121
7	7	24	24	1.0	0	0	4/4	5	1	1/4		1/4	1		0	72	C5	5	130
7	7	24	24	1.0	0	0	4/4	9	1	1/4		1/4	1		0	72	C5	5	136
7	7	25	25	1.0	1/4	1/4	4/4	1	1	1/4		1/4	1		5	71	B4	4	122
7	7	25	25	1.0	1/4	1/4	4/4	5	1	1/4		1/4	1		5	71	B4	4	131
7	7	25	25	1.0	1/4	1/4	4/4	9	1	1/4		1/4	1		5	71	B4	4	137
7	7	26	26	2.0	1/2	1/2	4/4	4	1	1/2		1/2	1		9	51	D#3	3	129
7	7	26	26	2.0	1/2	1/2	4/4	3	1	1/2		1/2	1		3	57	A3	3	127
7	7	26	26	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		6	66	F#4	4	125
7	7	26	26	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		0	72	C5	5	123
7	7	26	26	2.0	1/2	1/2	4/4	5	1	1/2		1/2	1		0	72	C5	5	132
7	7	26	26	2.0	1/2	1/2	4/4	9	1	1/2		1/2	1		0	72	C5	5	138
8	8	28	28	2.0	0	0	4/4	4	1	1/2		1/2	1		4	52	E3	3	146
8	8	28	28	4.0	0	0	4/4	6	1	1		1	1		4	52	E3	3	153
8	8	28	28	4.0	0	0	4/4	10	1	1		1	1		4	52	E3	3	156
8	8	28	28	2.0	0	0	4/4	3	1	1/2		1/2	1		3	57	A3	3	144
8	8	28	28	2.0	0	0	4/4	2	1	1/2		1/2	1		4	64	E4	4	142
8	8	28	28	4.0	0	0	4/4	5	2	1		1	1		4	64	E4	4	150
8	8	28	28	2.0	0	0	4/4	5	3	1/2		1/2	1		3	69	A4	4	151
8	8	28	28	2.0	0	0	4/4	1	1	1/2		1/2	1		0	72	C5	5	140
8	8	28	28	2.0	0	0	4/4	5	1	1/2		1/2	1		0	72	C5	5	148
8	8	28	28	2.0	0	0	4/4	9	1	1/2		1/2	1		0	72	C5	5	154
8	8	30	30	2.0	1/2	1/2	4/4	4	1	1/2		1/2	1		4	52	E3	3	147
8	8	30	30	2.0	1/2	1/2	4/4	3	1	1/2		1/2	1		8	56	G#3	3	145
8	8	30	30	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		4	64	E4	4	143
8	8	30	30	2.0	1/2	1/2	4/4	5	3	1/2		1/2	1		8	68	G#4	4	152
8	8	30	30	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		5	71	B4	4	141
8	8	30	30	2.0	1/2	1/2	4/4	5	1	1/2		1/2	1		5	71	B4	4	149
8	8	30	30	2.0	1/2	1/2	4/4	9	1	1/2		1/2	1		5	71	B4	4	155
9	9	32	32	2.0	0	0	4/4	4	1	1/2		1/2	1		-1	53	F3	3	163
9	9	32	32	2.0	0	0	4/4	6	1	1/2		1/2	1		-1	53	F3	3	171
9	9	32	32	2.0	0	0	4/4	10	1	1/2		1/2	1		-1	53	F3	3	175
9	9	32	32	2.0	0	0	4/4	3	1	1/2		1/2	1		3	57	A3	3	161
9	9	32	32	2.0	0	0	4/4	5	2	1/2		1/2	1		2	62	D4	4	167
9	9	32	32	2.0	0	0	4/4	2	1	1/2		1/2	1		3	69	A4	4	159
9	9	32	32	2.0	0	0	4/4	5	3	1/2		1/2	1		3	69	A4	4	169
9	9	32	32	2.0	0	0	4/4	1	1	1/2		1/2	1		2	74	D5	5	157
9	9	32	32	2.0	0	0	4/4	5	1	1/2		1/2	1		2	74	D5	5	165
9	9	32	32	2.0	0	0	4/4	9	1	1/2		1/2	1		2	74	D5	5	173
9	9	34	34	2.0	1/2	1/2	4/4	4	1	1/2		1/2	1		4	52	E3	3	164
9	9	34	34	2.0	1/2	1/2	4/4	6	1	1/2		1/2	1		4	52	E3	3	172
9	9	34	34	2.0	1/2	1/2	4/4	10	1	1/2		1/2	1		4	52	E3	3	176
9	9	34	34	2.0	1/2	1/2	4/4	3	1	1/2		1/2	1		7	61	C#4	4	162
9	9	34	34	2.0	1/2	1/2	4/4	5	2	1/2		1/2	1		7	61	C#4	4	168
9	9	34	34	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		1	67	G4	4	160
9	9	34	34	2.0	1/2	1/2	4/4	5	3	1/2		1/2	1		1	67	G4	4	170
9	9	34	34	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		4	76	E5	5	158
9	9	34	34	2.0	1/2	1/2	4/4	5	1	1/2		1/2	1		4	76	E5	5	166
9	9	34	34	2.0	1/2	1/2	4/4	9	1	1/2		1/2	1		4	76	E5	5	174
10	10	36	36	2.0	0	0	4/4	4	1	1/2		1/2	1		2	50	D3	3	185
10	10	36	36	2.0	0	0	4/4	6	1	1/2		1/2	1		2	50	D3	3	195
10	10	36	36	2.0	0	0	4/4	10	1	1/2		1/2	1		2	50	D3	3	200
10	10	36	36	1.0	0	0	4/4	3	1	1/4		1/4	1		2	62	D4	4	182
10	10	36	36	2.0	0	0	4/4	5	2	1/2		1/2	1		2	62	D4	4	190
10	10	36	36	1.0	0	0	4/4	2	1	1/4		1/4	1		3	69	A4	4	179
10	10	36	36	1.0	0	0	4/4	5	3	1/4		1/4	1		3	69	A4	4	192
10	10	36	36	2.0	0	0	4/4	1	1	1/2		1/2	1		-1	77	F5	5	177
10	10	36	36	2.0	0	0	4/4	5	1	1/2		1/2	1		-1	77	F5	5	188
10	10	36	36	2.0	0	0	4/4	9	1	1/2		1/2	1		-1	77	F5	5	198
10	10	37	37	1.0	1/4	1/4	4/4	3	1	1/4		1/4	1		5	59	B3	3	183
10	10	37	37	1.0	1/4	1/4	4/4	2	1	1/4		1/4	1		1	67	G4	4	180
10	10	37	37	1.0	1/4	1/4	4/4	5	3	1/4		1/4	1		5	71	B4	4	193
10	10	38	38	1.0	1/2	1/2	4/4	4	1	1/4		1/4	1		4	52	E3	3	186
10	10	38	38	1.0	1/2	1/2	4/4	6	1	1/4		1/4	1		4	52	E3	3	196
10	10	38	38	1.0	1/2	1/2	4/4	10	1	1/4		1/4	1		4	52	E3	3	201
10	10	38	38	2.0	1/2	1/2	4/4	3	1	1/2		1/2	1	1	0	60	C4	4	184
10	10	38	38	2.0	1/2	1/2	4/4	5	2	1/2		1/2	1	1	0	60	C4	4	191
10	10	38	38	2.0	1/2	1/2	4/4	2	1	1/2		1/2	1		1	67	G4	4	181
10	10	38	38	2.0	1/2	1/2	4/4	5	3	1/2		1/2	1		0	72	C5	5	194
10	10	38	38	2.0	1/2	1/2	4/4	1	1	1/2		1/2	1		4	76	E5	5	178
10	10	38	38	2.0	1/2	1/2	4/4	5	1	1/2		1/2	1		4	76	E5	5	189
10	10	38	38	2.0	1/2	1/2	4/4	9	1	1/2		1/2	1		4	76	E5	5	199
10	10	39	39	1.0	3/4	3/4	4/4	4	1	1/4		1/4	1		-1	53	F3	3	187
10	10	39	39	1.0	3/4	3/4	4/4	6	1	1/4		1/4	1		-1	53	F3	3	197
10	10	39	39	1.0	3/4	3/4	4/4	10	1	1/4		1/4	1		-1	53	F3	3	202
11	11	40	40	2.0	0	0	4/4	4	1	1/2		1/2	1		1	55	G3	3	210
11	11	40	40	2.0	0	0	4/4	10	1	1/2		1/2	1		1	55	G3	3	222
11	11	40	40	4.0	0	0	4/4	6	1	1		1	1		1	55	G3	3	218
11	11	40	40	2.0	0	0	4/4	3	1	1/2		1/2	1	-1	0	60	C4	4	208
11	11	40	40	2.0	0	0	4/4	5	2	1/2		1/2	1	-1	0	60	C4	4	215
11	11	40	40	2.0	0	0	4/4	2	1	1/2		1/2	1		1	67	G4	4	206
11	11	40	40	4.0	0	0	4/4	5	3	1		1	1		1	67	G4	4	217
11	11	40	40	1.0	0	0	4/4	1	1	1/4		1/4	1		2	74	D5	5	203
11	11	40	40	1.0	0	0	4/4	5	1	1/4		1/4	1		2	74	D5	5	212
11	11	40	40	1.0	0	0	4/4	9	1	1/4		1/4	1		2	74	D5	5	219
11	11	41	41	1.0	1/4	1/4	4/4	1	1	1/4		1/4	1		0	72	C5	5	204
11	11	41	41	1.0	1/4	1/4	4/4	5	1	1/4		1/4	1		0	72	C5	5	213
11	11	41	41	1.0	1/4	1/4	4/4	9	1	1/4		1/4	1		0	72	C5	5	220
11	11	42	42	2.0	1/2	1/2	4/4	4	1	1/2		1/2	1		1	43	G2	2	211
11	11	42	42	2.0	1/2	1/2	4/4	10	1	1/2		1/2	1		1	43	G2	2	223
11	11	42	42	2.0	1/2	1/2	4/4	3	1	1/2		1/2	1		5	59	B3	3	209
11	11	42	42	2.0	1/2	1/2	4/4	5	2	1/2		1/2	1		5	59	B3	3	216
